9.199022315442562103e-03,3.238464891910552979e-02,5.094156265258789062e-01,1.812916435301303864e-02,-4.634165391325950623e-02,6.631538867950439453e-01,7.468271255493164062e-01,-1.416032314300537109e+00,1.557025313377380371e-01,-1.358253695070743561e-02,1.445584893226623535e+00,7.468393445014953613e-02,-1.782270669937133789e-01,-1.382829427719116211e+00,9.571032971143722534e-02,1.072229370474815369e-01,1.337663292884826660e+00,7.951284199953079224e-02,2.496004998683929443e-01,-1.101675815880298615e-02,4.620492830872535706e-02,4.805304408073425293e-01,3.635812103748321533e-01,-3.602159917354583740e-01,4.972876608371734619e-02,9.684078693389892578e-01,-1.794320195913314819e-01,6.062578558921813965e-01,3.604277968406677246e-01,-3.845738768577575684e-01,4.224556982517242432e-01,-3.186886385083198547e-02,-1.009225606918334961e+00,-8.664832264184951782e-02,-3.211458921432495117e-01
1.367002446204423904e-02,3.757515549659729004e-02,5.024619698524475098e-01,4.641136899590492249e-02,-8.158289641141891479e-02,6.774995923042297363e-01,7.295097708702087402e-01,-1.356001615524291992e+00,1.227960884571075439e-01,6.525805802084505558e-04,1.486419558525085449e+00,6.651998311281204224e-02,-1.489669382572174072e-01,-1.330860733985900879e+00,4.937450960278511047e-02,3.717553988099098206e-02,1.403542995452880859e+00,5.403847247362136841e-02,1.996707469224929810e-01,-3.384405001997947693e-02,3.786674514412879944e-02,5.771753191947937012e-01,3.869183659553527832e-01,-3.726101219654083252e-01,5.087707191705703735e-02,9.740874767303466797e-01,-1.689176559448242188e-01,6.324181556701660156e-01,4.682137072086334229e-01,-4.058370590209960938e-01,4.130229055881500244e-01,-7.262783497571945190e-02,-1.012011647224426270e+00,-8.190621435642242432e-02,-3.145005702972412109e-01
1.378463115543127060e-02,3.740468621253967285e-02,5.018751025199890137e-01,4.678260535001754761e-02,-8.072897791862487793e-02,6.804910302162170410e-01,7.267916798591613770e-01,-1.357036709785461426e+00,1.151761710643768311e-01,6.822899449616670609e-04,1.484459280967712402e+00,7.325569540262222290e-02,-1.507076919078826904e-01,-1.332275032997131348e+00,3.789744153618812561e-02,3.576869890093803406e-02,1.406192660331726074e+00,5.288961902260780334e-02,2.042762786149978638e-01,-4.102633148431777954e-02,3.832087665796279907e-02,6.005400419235229492e-01,3.877107501029968262e-01,-3.718464970588684082e-01,3.464503958821296692e-02,9.766047000885009766e-01,-1.630730479955673218e-01,6.456464529037475586e-01,4.936932921409606934e-01,-4.169237017631530762e-01,4.108282625675201416e-01,-9.786558896303176880e-02,-1.026872992515563965e+00,-8.216212689876556396e-02,-3.271775245666503906e-01
1.353214029222726822e-02,3.671117126941680908e-02,5.011132359504699707e-01,4.299462586641311646e-02,-7.623074948787689209e-02,6.819114685058593750e-01,7.261798381805419922e-01,-1.370094895362854004e+00,1.123221665620803833e-01,9.893717942759394646e-04,1.483464241027832031e+00,7.862224429845809937e-02,-1.516168564558029175e-01,-1.345161199569702148e+00,3.085315041244029999e-02,3.416264057159423828e-02,1.406471133232116699e+00,5.454654991626739502e-02,2.086146771907806396e-01,-4.332870244979858398e-02,4.091900214552879333e-02,6.150436997413635254e-01,3.880942165851593018e-01,-3.728156387805938721e-01,1.716315373778343201e-02,9.765397310256958008e-01,-1.570298820734024048e-01,6.586356163024902344e-01,5.073991417884826660e-01,-4.258310496807098389e-01,4.118726551532745361e-01,-1.184765696525573730e-01,-1.044158935546875000e+00,-7.773984968662261963e-02,-3.450930416584014893e-01
1.340873818844556808e-02,3.682702034711837769e-02,5.003882646560668945e-01,3.733712062239646912e-02,-6.990462541580200195e-02,6.827381253242492676e-01,7.263525128364562988e-01,-1.388478994369506836e+00,1.106056272983551025e-01,3.220084472559392452e-04,1.484707832336425781e+00,8.119911700487136841e-02,-1.533284783363342285e-01,-1.363452196121215820e+00,2.516173385083675385e-02,3.236274048686027527e-02,1.408335804939270020e+00,5.503339692950248718e-02,2.118765711784362793e-01,-4.292193427681922913e-02,4.423541575670242310e-02,6.282201409339904785e-01,3.897159099578857422e-01,-3.763277232646942139e-01,-2.188763348385691643e-03,9.735988378524780273e-01,-1.539305895566940308e-01,6.718395948410034180e-01,5.197898149490356445e-01,-4.335026443004608154e-01,4.140767455101013184e-01,-1.384948939085006714e-01,-1.063154339790344238e+00,-7.085096091032028198e-02,-3.644055128097534180e-01
1.333827059715986252e-02,3.748465701937675476e-02,4.998637735843658447e-01,3.037938848137855530e-02,-6.222571432590484619e-02,6.834320425987243652e-01,7.267225384712219238e-01,-1.410224676132202148e+00,1.084953770041465759e-01,-1.221770071424543858e-03,1.486704707145690918e+00,8.186430484056472778e-02,-1.547418683767318726e-01,-1.385159611701965332e+00,1.993777230381965637e-02,3.073521144688129425e-02,1.411167979240417480e+00,5.299859866499900818e-02,2.148040831089019775e-01,-4.099407419562339783e-02,4.776888340711593628e-02,6.417272090911865234e-01,3.931502699851989746e-01,-3.828493654727935791e-01,-2.328418754041194916e-02,9.680382013320922852e-01,-1.557757556438446045e-01,6.868207454681396484e-01,5.340374112129211426e-01,-4.416848719120025635e-01,4.165636003017425537e-01,-1.589551120996475220e-01,-1.081240653991699219e+00,-6.076138839125633240e-02,-3.855464756488800049e-01
1.353300269693136215e-02,3.835681825876235962e-02,4.992825984954833984e-01,2.266141399741172791e-02,-5.352519080042839050e-02,6.841015815734863281e-01,7.270671129226684570e-01,-1.434577584266662598e+00,1.056813597679138184e-01,-3.613917855545878410e-03,1.489022612571716309e+00,8.114901930093765259e-02,-1.556794494390487671e-01,-1.409722566604614258e+00,1.509526651352643967e-02,2.925235405564308167e-02,1.414938926696777344e+00,4.916982352733612061e-02,2.167833298444747925e-01,-3.821104019880294800e-02,5.117826163768768311e-02,6.558771729469299316e-01,3.982456028461456299e-01,-3.922451734542846680e-01,-4.521955549716949463e-02,9.610901474952697754e-01,-1.632794290781021118e-01,7.034983634948730469e-01,5.508580207824707031e-01,-4.518063664436340332e-01,4.186591506004333496e-01,-1.800469011068344116e-01,-1.097377657890319824e+00,-4.606816917657852173e-02,-4.093617796897888184e-01
1.365002430975437164e-02,3.934744000434875488e-02,4.986839294433593750e-01,1.414815243333578110e-02,-4.402333870530128479e-02,6.849495172500610352e-01,7.271217107772827148e-01,-1.461287498474121094e+00,1.012461036443710327e-01,-6.422790233045816422e-03,1.491411805152893066e+00,8.048413693904876709e-02,-1.556805074214935303e-01,-1.436630129814147949e+00,1.008932571858167648e-02,2.777441218495368958e-02,1.419185400009155273e+00,4.693189263343811035e-02,2.188160568475723267e-01,-3.506530448794364929e-02,5.458221212029457092e-02,6.695152521133422852e-01,4.056145548820495605e-01,-4.047511219978332520e-01,-6.662099063396453857e-02,9.535107612609863281e-01,-1.741103082895278931e-01,7.209610342979431152e-01,5.696768760681152344e-01,-4.637067317962646484e-01,4.199464917182922363e-01,-2.013527899980545044e-01,-1.108766913414001465e+00,-2.464209310710430145e-02,-4.369871020317077637e-01
1.378009188920259476e-02,4.043652862310409546e-02,4.982469677925109863e-01,4.692186135798692703e-03,-3.362499177455902100e-02,6.860403418540954590e-01,7.267709374427795410e-01,-1.490202426910400391e+00,9.507571905851364136e-02,-9.639470838010311127e-03,1.493247151374816895e+00,8.056417107582092285e-02,-1.560450494289398193e-01,-1.465780973434448242e+00,4.996416158974170685e-03,2.639186754822731018e-02,1.423356175422668457e+00,4.505287855863571167e-02,2.202643156051635742e-01,-3.192305192351341248e-02,5.798537284135818481e-02,6.816852092742919922e-01,4.153618812561035156e-01,-4.203881025314331055e-01,-8.792567998170852661e-02,9.473783969879150391e-01,-1.856650263071060181e-01,7.407779693603515625e-01,5.899976491928100586e-01,-4.773940443992614746e-01,4.204743206501007080e-01,-2.233998328447341919e-01,-1.114659309387207031e+00,2.137247240170836449e-03,-4.700153768062591553e-01
1.394991297274827957e-02,4.183521121740341187e-02,4.980442821979522705e-01,-5.753771401941776276e-03,-2.220138907432556152e-02,6.870757937431335449e-01,7.262237071990966797e-01,-1.521293878555297852e+00,8.755413442850112915e-02,-1.341637037694454193e-02,1.494829893112182617e+00,8.082219213247299194e-02,-1.579861044883728027e-01,-1.497269511222839355e+00,-2.782908268272876740e-05,2.528210543096065521e-02,1.427794098854064941e+00,4.234531521797180176e-02,2.213172763586044312e-01,-2.877172827720642090e-02,6.139888241887092590e-02,6.921820640563964844e-01,4.275621175765991211e-01,-4.386374652385711670e-01,-1.090220361948013306e-01,9.460660815238952637e-01,-1.963166743516921997e-01,7.631383538246154785e-01,6.108742356300354004e-01,-4.923873841762542725e-01,4.197750985622406006e-01,-2.458445727825164795e-01,-1.115949511528015137e+00,3.412425890564918518e-02,-5.063697099685668945e-01
